trial,owner,repo,api_type,response_time_ms,response_size_bytes,http_status
6,denoland,deno,GraphQL,376.078,242,200
6,rust-lang,rust,REST,482.384,6264,200
6,rust-lang,rust,GraphQL,425.067,258,200
6,apple,swift,REST,696.93,6249,200
6,apple,swift,GraphQL,463.055,227,200
6,libp2p,go-libp2p,GraphQL,426.698,222,200
6,libp2p,go-libp2p,REST,428.509,6195,200
6,python,cpython,REST,448.217,6080,200
6,python,cpython,GraphQL,506.925,231,200
7,facebook,react,GraphQL,429.868,249,200
7,facebook,react,REST,706.828,6035,200
7,vuejs,vue,REST,443.391,5949,200
7,vuejs,vue,GraphQL,365.903,274,200
7,microsoft,vscode,REST,518.511,6517,200
7,microsoft,vscode,GraphQL,504.885,223,200
7,torvalds,linux,GraphQL,429.517,215,200
7,torvalds,linux,REST,452.984,5079,200
7,tensorflow,tensorflow,REST,470.594,6822,200
7,tensorflow,tensorflow,GraphQL,467.85,254,200
7,twbs,bootstrap,GraphQL,428.028,312,200
7,twbs,bootstrap,REST,438.714,6205,200
7,ohmyzsh,ohmyzsh,REST,413.165,6661,200
7,ohmyzsh,ohmyzsh,GraphQL,427.683,544,200
7,angular,angular,GraphQL,428.028,241,200
7,angular,angular,REST,473.426,6473,200
7,golang,go,GraphQL,484.526,219,200
7,golang,go,REST,534.76,6125,200
7,kubernetes,kubernetes,REST,443.91,6600,200
7,kubernetes,kubernetes,GraphQL,817.208,252,200
7,nodejs,node,GraphQL,526.501,243,200
7,nodejs,node,REST,425.524,6037,200
7,django,django,GraphQL,522.495,248,200
7,django,django,REST,436.321,6209,200
7,rails,rails,REST,531.0,5969,200
7,rails,rails,GraphQL,405.823,208,200
7,laravel,laravel,GraphQL,648.561,387,200
7,laravel,laravel,REST,451.695,6228,200
7,flutter,flutter,REST,516.236,6655,200
7,flutter,flutter,GraphQL,522.174,276,200
7,denoland,deno,GraphQL,446.182,242,200
7,denoland,deno,REST,453.23,6161,200
7,rust-lang,rust,REST,452.038,6264,200
7,rust-lang,rust,GraphQL,455.787,258,200
7,apple,swift,REST,684.463,6249,200
7,apple,swift,GraphQL,384.79,227,200
7,libp2p,go-libp2p,REST,523.056,6195,200
7,libp2p,go-libp2p,GraphQL,428.771,222,200
7,python,cpython,REST,428.029,6080,200
7,python,cpython,GraphQL,734.296,231,200
8,facebook,react,GraphQL,427.886,249,200
8,facebook,react,REST,835.105,6035,200
8,vuejs,vue,REST,531.119,5949,200
8,vuejs,vue,GraphQL,371.765,274,200
8,microsoft,vscode,GraphQL,445.297,223,200
8,microsoft,vscode,REST,562.07,6517,200
8,torvalds,linux,GraphQL,525.475,215,200
8,torvalds,linux,REST,430.779,5079,200
8,tensorflow,tensorflow,GraphQL,376.393,254,200
8,tensorflow,tensorflow,REST,579.31,6822,200
8,twbs,bootstrap,GraphQL,529.65,312,200
